displacement[m],reference_ratio_y_axis_list,reference_ratio_z_axis_list
-4.00e-3,1,-1
-3.99e-3,1,-1
-3.98e-3,1,-1
-3.97e-3,1,-1
-3.96e-3,1,-1
-3.95e-3,1,-1
-3.94e-3,1,-1
-3.93e-3,1,-1
-3.92e-3,1,-1
-3.91e-3,1,-1
-3.90e-3,1,-1
-3.89e-3,1,-1
-3.88e-3,1,-1
-3.87e-3,1,-1
-3.86e-3,1,-0.999999999999999
-3.85e-3,1,-0.999999999999999
-3.84e-3,1,-0.999999999999998
-3.83e-3,1,-0.999999999999997
-3.82e-3,1,-0.999999999999995
-3.81e-3,1,-0.999999999999992
-3.80e-3,1,-0.999999999999988
-3.79e-3,1,-0.999999999999984
-3.78e-3,1,-0.999999999999979
-3.77e-3,1,-0.999999999999972
-3.76e-3,1,-0.999999999999962
-3.75e-3,1,-0.999999999999948
-3.74e-3,1,-0.999999999999932
-3.73e-3,1,-0.999999999999915
-3.72e-3,0.999999999999992,-0.999999999999898
-3.71e-3,0.999999999999972,-0.99999999999988
-3.70e-3,0.999999999999945,-0.999999999999861
-3.69e-3,0.999999999999912,-0.999999999999835
-3.68e-3,0.999999999999875,-0.999999999999799
-3.67e-3,0.999999999999835,-0.999999999999759
-3.66e-3,0.999999999999792,-0.999999999999712
-3.65e-3,0.999999999999742,-0.999999999999658
-3.64e-3,0.999999999999681,-0.999999999999597
-3.63e-3,0.999999999999608,-0.999999999999527
-3.62e-3,0.999999999999528,-0.999999999999444
-3.61e-3,0.999999999999436,-0.999999999999352
-3.60e-3,0.999999999999327,-0.999999999999245
-3.59e-3,0.999999999999203,-0.999999999999123
-3.58e-3,0.999999999999061,-0.999999999998982
-3.57e-3,0.999999999998898,-0.999999999998821
-3.56e-3,0.99999999999871,-0.999999999998635
-3.55e-3,0.999999999998498,-0.999999999998422
-3.54e-3,0.999999999998256,-0.999999999998177
-3.53e-3,0.999999999997976,-0.999999999997896
-3.52e-3,0.999999999997654,-0.999999999997576
-3.51e-3,0.999999999997287,-0.999999999997208
-3.50e-3,0.999999999996868,-0.999999999996789
-3.49e-3,0.999999999996388,-0.99999999999631
-3.48e-3,0.99999999999584,-0.999999999995763
-3.47e-3,0.999999999995214,-0.999999999995138
-3.46e-3,0.999999999994498,-0.999999999994425
-3.45e-3,0.999999999993682,-0.999999999993609
-3.44e-3,0.99999999999275,-0.999999999992679
-3.43e-3,0.999999999991685,-0.999999999991617
-3.42e-3,0.999999999990471,-0.999999999990407
-3.41e-3,0.999999999989086,-0.999999999989026
-3.40e-3,0.999999999987505,-0.99999999998745
-3.39e-3,0.999999999985705,-0.999999999985655
-3.38e-3,0.999999999983654,-0.999999999983609
-3.37e-3,0.999999999981318,-0.999999999981279
-3.36e-3,0.999999999978657,-0.999999999978624
-3.35e-3,0.999999999975626,-0.999999999975601
-3.34e-3,0.999999999972178,-0.99999999997216
-3.33e-3,0.999999999968253,-0.999999999968245
-3.32e-3,0.99999999996379,-0.99999999996379
-3.31e-3,0.999999999958712,-0.999999999958724
-3.30e-3,0.999999999952939,-0.999999999952962
-3.29e-3,0.999999999946378,-0.999999999946413
-3.28e-3,0.999999999938924,-0.999999999938972
-3.27e-3,0.999999999930455,-0.999999999930518
-3.26e-3,0.999999999920835,-0.999999999920916
-3.25e-3,0.999999999909912,-0.999999999910013
-3.24e-3,0.999999999897515,-0.999999999897637
-3.23e-3,0.999999999883449,-0.999999999883594
-3.22e-3,0.999999999867493,-0.999999999867664
-3.21e-3,0.999999999849397,-0.999999999849599
-3.20e-3,0.999999999828884,-0.999999999829118
-3.19e-3,0.999999999805638,-0.999999999805906
-3.18e-3,0.999999999779301,-0.999999999779606
-3.17e-3,0.999999999749473,-0.999999999749817
-3.16e-3,0.999999999715698,-0.999999999716087
-3.15e-3,0.999999999677467,-0.999999999677905
-3.14e-3,0.999999999634205,-0.999999999634698
-3.13e-3,0.999999999585268,-0.999999999585819
-3.12e-3,0.999999999529927,-0.999999999530544
-3.11e-3,0.999999999467367,-0.999999999468053
-3.10e-3,0.999999999396669,-0.99999999939743
-3.09e-3,0.999999999316799,-0.999999999317642
-3.08e-3,0.999999999226595,-0.999999999227527
-3.07e-3,0.999999999124753,-0.999999999125783
-3.06e-3,0.999999999009812,-0.999999999010948
-3.05e-3,0.999999998880131,-0.999999998881382
-3.04e-3,0.999999998733868,-0.999999998735243
-3.03e-3,0.999999998568957,-0.999999998570466
-3.02e-3,0.999999998383083,-0.999999998384738
-3.01e-3,0.999999998173654,-0.999999998175467
-3.00e-3,0.999999997937767,-0.999999997939749
-2.99e-3,0.999999997672168,-0.999999997674334
-2.98e-3,0.999999997373218,-0.999999997375583
-2.97e-3,0.999999997036846,-0.999999997039426
-2.96e-3,0.999999996658501,-0.999999996661312
-2.95e-3,0.999999996233093,-0.999999996236153
-2.94e-3,0.999999995754937,-0.999999995758265
-2.93e-3,0.999999995217683,-0.9999999952213
-2.92e-3,0.999999994614241,-0.999999994618168
-2.91e-3,0.999999993936699,-0.999999993940959
-2.90e-3,0.999999993176233,-0.999999993180849
-2.89e-3,0.999999992322997,-0.999999992327993
-2.88e-3,0.999999991366021,-0.999999991371424
-2.87e-3,0.99999999029308,-0.999999990298917
-2.86e-3,0.999999989090554,-0.999999989096858
-2.85e-3,0.99999998774329,-0.999999987750092
-2.84e-3,0.999999986234419,-0.999999986241752
-2.83e-3,0.999999984545177,-0.999999984553074
-2.82e-3,0.999999982654697,-0.999999982663196
-2.81e-3,0.99999998053979,-0.99999998054893
-2.80e-3,0.999999978174686,-0.99999997818451
-2.79e-3,0.999999975530777,-0.999999975541327
-2.78e-3,0.999999972576298,-0.99999997258762
-2.77e-3,0.999999969276002,-0.999999969288142
-2.76e-3,0.999999965590797,-0.999999965603804
-2.75e-3,0.999999961477341,-0.999999961491266
-2.74e-3,0.999999956887598,-0.999999956902494
-2.73e-3,0.999999951768358,-0.99999995178428
-2.72e-3,0.9999999460607,-0.999999946077706
-2.71e-3,0.999999939699408,-0.999999939717556
-2.70e-3,0.999999932612327,-0.99999993263168
-2.69e-3,0.999999924719663,-0.999999924740286
-2.68e-3,0.999999915933209,-0.999999915955167
-2.67e-3,0.999999906155496,-0.999999906178858
-2.66e-3,0.99999989527887,-0.99999989530371
-2.65e-3,0.999999883184483,-0.999999883210873
-2.64e-3,0.999999869741175,-0.999999869769191
-2.63e-3,0.99999985480427,-0.999999854833987
-2.62e-3,0.999999838214241,-0.999999838245739
-2.61e-3,0.999999819795266,-0.999999819828626
-2.60e-3,0.99999979935365,-0.999999799388956
-2.59e-3,0.999999776676097,-0.999999776713434
-2.58e-3,0.999999751527827,-0.99999975156728
-2.57e-3,0.999999723650518,-0.999999723692177
-2.56e-3,0.999999692760079,-0.999999692804033
-2.55e-3,0.999999658544206,-0.999999658590547
-2.54e-3,0.999999620659731,-0.99999962070855
-2.53e-3,0.999999578729733,-0.999999578781124
-2.52e-3,0.999999532340401,-0.999999532394458
-2.51e-3,0.999999481037615,-0.999999481094433
